path,category,bytes,sha256,source_url,author,version_or_commit,license,commercial_use,attribution,share_alike,modified,modifications,notice_path,status
audio/music/asianoriental_battle.ogg,audio,3601956,ad7a04dca194d467b7f135b019b7e2b381b1e8cd2d21f38448df5bb2d145b211,https://opengameart.org/content/asianoriental2,Tozan,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Renamed local file only,THIRD_PARTY_NOTICES.md,VERIFIED
audio/music/oriental_calm.mp3,audio,694912,3bea858d6e5771168e21d4307129dbddf7a2868bdff0160bafbb91358b259720,https://opengameart.org/content/oriental,Shadowfire452,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Renamed local file only,THIRD_PARTY_NOTICES.md,VERIFIED
audio/music/oriented_suspense.ogg,audio,648099,d088a0e4d768adedd4228b4c5c78a2018972721aa03deee3a5b6ecb866e2d3a2,https://opengameart.org/content/oriented,yd,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Renamed local file only,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/correct_bell.wav,audio,281900,7b21371d23bcc5c56866b9bb32791b21bfce467edae05eef4bbc9d547da417a9,https://opengameart.org/content/correct-bell,Fupi,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Renamed local file only,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/door_open.ogg,audio,18227,62b42cdf0d8b25ef80c0f3bc815aa65977b78b20225481461ea134798172f59d,https://opengameart.org/content/100-cc0-sfx,rubberduck,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Extracted one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/footstep_01.ogg,audio,9715,33c9bef5e8aeb1069455699a34a0c5e1ef1787fd3f61594b0859d7e6bb9f9dec,https://opengameart.org/content/footsteps-0,GboxMikeFozzy,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Extracted one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/footstep_02.ogg,audio,10531,f05396c807eb8eaecffb2a1ead611ec971c5a7914d1d081c91d7796e852692a2,https://opengameart.org/content/footsteps-0,GboxMikeFozzy,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Extracted one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/gong_01.ogg,audio,55320,4780a38e91688b59899b3679cf3534b4b75654b45a177af9d9fb681c447f7f9a,https://opengameart.org/content/100-cc0-sfx,rubberduck,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Extracted one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/paper_scroll.mp3,audio,12292,f62e6cab41a9c0a8c67b5752c95e80e6adc681110d579ada982627909be1773d,https://opengameart.org/content/various-paper-sound-effects,Luckius,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Selected one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/wood_creak.ogg,audio,71424,465356e0e32e71a5c29fda529a0ac23af7791c62e3bd862e8cb2961eb104e1b1,https://opengameart.org/content/tree-creaking,AntumDeluge / Department64,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Selected one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
audio/sfx/wooden_01.ogg,audio,9357,e7f7b1243ecd6ff3487eee1540de56f38fac606fe6218bdd49a91efc29ae1b9a,https://opengameart.org/content/100-cc0-sfx,rubberduck,retrieved-2026-07-15,CC0-1.0,yes,voluntary,no,false,Extracted one effect and renamed,THIRD_PARTY_NOTICES.md,VERIFIED
fonts/NotoSansTC-Variable.ttf,font,11941968,864727d210d54f2537bbe23b3a839436c3992af72de9322af5270897246bd44f,https://github.com/google/fonts/blob/main/ofl/notosanstc/NotoSansTC%5Bwght%5D.ttf,The Noto Project Authors,google-fonts-object-82943579ad39c281212df8f14ac999824694a6ab,OFL-1.1,yes,license-notice,license-conditions,false,Filename changed; font bytes unmodified,assets/fonts/OFL-NotoSansTC.txt,VERIFIED
fonts/OFL-NotoSansTC.txt,license,4388,1c05c68c34f9708415aada51f17e1b0092d2cea709bf4a94cd38114f9e73d7d9,https://github.com/google/fonts/blob/main/ofl/notosanstc/OFL.txt,The Noto Project Authors,google-fonts-object-1c9f43281b8f216c5461fe9ac729afbade7724e4,OFL-1.1,n/a,required,n/a,false,Unmodified license text,assets/fonts/OFL-NotoSansTC.txt,VERIFIED
images/bell_tower_concept.png,texture,2376391,ff042806d4b89bfd104655297bd4454a508e19158f305aea85d8bf667a1aaecf,generated://openai-imagegen/exec-ef91a453-e918-484b-86e2-9f94c9ef629c,OpenAI image generation with project art direction,generated-2026-07-15,Project-generated asset; OpenAI terms apply,project-use,not-required,n/a,false,Generated specifically for this vertical slice,THIRD_PARTY_NOTICES.md,PROJECT_GENERATED
images/evidence/bell_case_evidence_atlas.png,texture,2435470,4079e6b7c597cd2ff43c9d1678e4f535c22dca13b18f3d103453416868fccdb0,generated://openai-imagegen/exec-bc6acd6b-47a1-4e53-a7d4-19770152fbe9,OpenAI image generation with project art direction,generated-2026-07-16,Project-generated asset; OpenAI terms apply,project-use,not-required,n/a,false,Generated as a six-panel evidence close-up atlas,THIRD_PARTY_NOTICES.md,PROJECT_GENERATED
